Entity,Code,Date,total_vaccinations_per_hundred
Spain,ESP,2021-01-21,2.36
Spain,ESP,2021-01-22,2.49
Sweden,SWE,2020-12-27,0.04
Sweden,SWE,2021-01-03,0.31
Sweden,SWE,2021-01-10,0.79
Sweden,SWE,2021-01-17,1.45
Switzerland,CHE,2020-12-23,0
Switzerland,CHE,2021-01-14,0.76
Switzerland,CHE,2021-01-19,1.27
Switzerland,CHE,2021-01-21,1.96
Turkey,TUR,2021-01-13,0
Turkey,TUR,2021-01-14,0.33
Turkey,TUR,2021-01-15,0.73
Turkey,TUR,2021-01-16,0.8
Turkey,TUR,2021-01-17,0.84
Turkey,TUR,2021-01-18,0.99
Turkey,TUR,2021-01-19,1.13
Turkey,TUR,2021-01-20,1.25
Turkey,TUR,2021-01-21,1.33
Turkey,TUR,2021-01-22,1.43
Turkey,TUR,2021-01-23,1.45
Turkey,TUR,2021-01-24,1.48
United Arab Emirates,ARE,2021-01-05,8.35
United Arab Emirates,ARE,2021-01-07,8.98
United Arab Emirates,ARE,2021-01-08,9.52
United Arab Emirates,ARE,2021-01-09,10.32
United Arab Emirates,ARE,2021-01-10,10.99
United Arab Emirates,ARE,2021-01-11,11.8
United Arab Emirates,ARE,2021-01-12,12.9
United Arab Emirates,ARE,2021-01-13,14.1
United Arab Emirates,ARE,2021-01-14,15.45
United Arab Emirates,ARE,2021-01-15,16.84
United Arab Emirates,ARE,2021-01-16,18.18
United Arab Emirates,ARE,2021-01-17,19.04
United Arab Emirates,ARE,2021-01-18,19.93
United Arab Emirates,ARE,2021-01-19,20.88
United Arab Emirates,ARE,2021-01-20,21.85
United Arab Emirates,ARE,2021-01-21,22.71
United Arab Emirates,ARE,2021-01-22,23.65
United Arab Emirates,ARE,2021-01-23,24.54
United Arab Emirates,ARE,2021-01-24,25.15
United Kingdom,GBR,2020-12-20,0.98
United Kingdom,GBR,2020-12-27,1.46
United Kingdom,GBR,2021-01-03,2.04
United Kingdom,GBR,2021-01-10,3.94
United Kingdom,GBR,2021-01-11,4.19
United Kingdom,GBR,2021-01-12,4.52
United Kingdom,GBR,2021-01-13,4.94
United Kingdom,GBR,2021-01-14,5.42
United Kingdom,GBR,2021-01-15,5.9
United Kingdom,GBR,2021-01-16,6.31
United Kingdom,GBR,2021-01-17,6.65
United Kingdom,GBR,2021-01-18,6.96
United Kingdom,GBR,2021-01-19,7.47
United Kingdom,GBR,2021-01-20,8.01
United Kingdom,GBR,2021-01-21,8.62
United Kingdom,GBR,2021-01-22,9.32
United Kingdom,GBR,2021-01-23,10.05
United States,USA,2020-12-20,0.17
United States,USA,2020-12-21,0.19
United States,USA,2020-12-23,0.3
United States,USA,2020-12-26,0.59
United States,USA,2020-12-28,0.64
United States,USA,2020-12-30,0.84
United States,USA,2021-01-02,1.28
United States,USA,2021-01-04,1.38
United States,USA,2021-01-05,1.46
United States,USA,2021-01-06,1.6
United States,USA,2021-01-07,1.79
United States,USA,2021-01-08,2.02
United States,USA,2021-01-11,2.72
United States,USA,2021-01-12,2.82
United States,USA,2021-01-13,3.11
United States,USA,2021-01-14,3.37
United States,USA,2021-01-15,3.71
United States,USA,2021-01-19,4.75
United States,USA,2021-01-20,4.99
United States,USA,2021-01-21,5.3
United States,USA,2021-01-22,5.77
United States,USA,2021-01-23,6.2
Wales,,2020-12-13,0.26
Wales,,2020-12-20,0.75
Wales,,2020-12-27,1.14
Wales,,2021-01-03,1.58
Wales,,2021-01-10,2.73
Wales,,2021-01-11,2.9
Wales,,2021-01-12,3.22
Wales,,2021-01-13,3.59
Wales,,2021-01-14,4.01
Wales,,2021-01-17,4.82
Wales,,2021-01-18,5.14
Wales,,2021-01-19,5.59
Wales,,2021-01-20,6.05
Wales,,2021-01-21,6.75
Wales,,2021-01-22,7.64
Wales,,2021-01-23,8.41
World,OWID_WRL,2020-12-14,0
World,OWID_WRL,2020-12-15,0.02
World,OWID_WRL,2020-12-16,0.02
World,OWID_WRL,2020-12-17,0.02
World,OWID_WRL,2020-12-18,0.02
World,OWID_WRL,2020-12-19,0.02
World,OWID_WRL,2020-12-20,0.04
World,OWID_WRL,2020-12-21,0.04
World,OWID_WRL,2020-12-22,0.04
World,OWID_WRL,2020-12-23,0.04
World,OWID_WRL,2020-12-24,0.05
World,OWID_WRL,2020-12-25,0.05
World,OWID_WRL,2020-12-26,0.06
World,OWID_WRL,2020-12-27,0.06
World,OWID_WRL,2020-12-28,0.07
World,OWID_WRL,2020-12-29,0.07
World,OWID_WRL,2020-12-30,0.09
World,OWID_WRL,2020-12-31,0.13
World,OWID_WRL,2021-01-01,0.13
World,OWID_WRL,2021-01-02,0.16
World,OWID_WRL,2021-01-03,0.17
World,OWID_WRL,2021-01-04,0.18
World,OWID_WRL,2021-01-05,0.2
World,OWID_WRL,2021-01-06,0.21
World,OWID_WRL,2021-01-07,0.23
World,OWID_WRL,2021-01-08,0.25
World,OWID_WRL,2021-01-09,0.31
World,OWID_WRL,2021-01-10,0.33
World,OWID_WRL,2021-01-11,0.37
World,OWID_WRL,2021-01-12,0.38
World,OWID_WRL,2021-01-13,0.43
World,OWID_WRL,2021-01-14,0.46
World,OWID_WRL,2021-01-15,0.5
World,OWID_WRL,2021-01-16,0.51
World,OWID_WRL,2021-01-17,0.52
World,OWID_WRL,2021-01-18,0.54
World,OWID_WRL,2021-01-19,0.6
World,OWID_WRL,2021-01-20,0.7
World,OWID_WRL,2021-01-21,0.74
World,OWID_WRL,2021-01-22,0.78
World,OWID_WRL,2021-01-23,0.82
